taue,taui,alpha,speed,gei,gii,tauC,r_tot,r_psd,r_sp,sub,flag,status,success
7.143025799974637380e+00,2.000000000000000000e+02,6.844051129255924737e-01,5.299999999999999822e+00,7.588154008997714861e+00,5.000000000000000000e-01,1.440778398312303921e+01,1.477377263860250922e+00,9.012306256400722804e-01,5.761466382201786418e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.204432873574562635e+00,1.637866451557844272e+01,1.000000000000000056e-01,3.044726900217251675e+00,5.000000000000000000e-01,8.351123048244874170e+00,1.487277765057860002e+01,1.487184807234816608e+00,8.974693161390110419e-01,5.897154910958055662e-01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.287185777214850368e+01,1.548045368200237881e+01,1.000000000000000000e+00,5.299999999999999822e+00,2.687131632778881229e+00,4.723255520923479445e+00,1.240716904640273022e+01,1.504326080753609851e+00,9.323570269495491392e-01,5.719690538040608230e-01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.021356876588465923e+01,7.195762835031740678e+01,1.000000000000000056e-01,3.042527542385790706e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.888220179201574567e+01,1.454167063757808798e+00,8.738390731147708257e-01,5.803279906430380830e-01,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.314012034758332881e+01,5.000000000000000000e+00,1.000000000000000056e-01,2.695476142911004125e+00,6.743472990889385343e+00,7.336662476212770123e+00,2.054084428640171467e+01,1.552170058049815893e+00,8.552887069411384546e-01,6.968813511086775492e-01,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.535856541413077458e+01,2.000000000000000000e+02,1.000000000000000000e+00,3.397117519995539237e+00,5.253691572439925572e+00,5.000000000000000000e-01,7.793783187921720312e+00,1.474900793783131547e+00,9.225792959904165480e-01,5.523214977927148883e-01,5.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.801969237660296130e+01,5.545054544729969592e+01,1.000000000000000000e+00,1.715123665042734169e+00,3.137617636354723683e+00,9.860632025781784549e+00,1.506588966948449304e+01,1.493155987041516308e+00,9.145173094114982248e-01,5.786386776300181944e-01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.442333699923760193e+01,6.822346666435547036e+01,1.000000000000000056e-01,2.711361469851276240e+00,5.962324197242200974e+00,7.525629350610505419e+00,2.276690158812258957e+01,1.436164444871394608e+00,8.821494526149277204e-01,5.540149922564669982e-01,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.928097187261088408e+01,6.495731091185106720e+01,9.214556931540847096e-01,3.409159899344445854e+00,3.111172750438974344e+00,1.000000000000000000e+01,7.493903303789175574e+00,1.507578733943974125e+00,9.092270053104979377e-01,5.983517286334761875e-01,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,2.423820039270632165e+01,1.000000000000000000e+00,5.299999999999999822e+00,4.231805254934202232e+00,1.000000000000000000e+01,1.411574624412082990e+01,1.557718802050432227e+00,9.017984806514656171e-01,6.559203213989664993e-01,9.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
